ad_id,fb_campaign_id,xyz_campaign_id,age,gender,interest,Impressions,Clicks,Spent,Total_Conversion,Approved_Conversion
736988,109472,936,30-34,M,28,3891,1,1.09,1,0
736995,109473,936,30-34,M,29,1888,0,0,1,0
736997,109473,936,30-34,M,29,1895,0,0,1,0
737097,109498,936,35-39,M,7,715,0,0,1,0
737130,109507,936,35-39,M,16,11199,2,2.68,1,0
737320,109553,936,35-39,M,63,5676,2,3.01,1,0
737375,109565,936,40-44,M,10,1415,0,0,1,0
737524,109601,936,40-44,M,30,2148,1,1.58,1,1
737644,109629,936,45-49,M,16,45401,10,14.06,1,0
737657,109633,936,45-49,M,18,7478,2,2.9,1,1
737658,109633,936,45-49,M,18,4919,1,1.59,1,0
737674,109637,936,45-49,M,20,533,0,0,1,1
737766,109659,936,45-49,M,29,1447,0,0,1,1
737896,109689,936,30-34,F,16,17553,3,4.59,1,0
737931,109698,936,30-34,F,20,3343,1,0.54,1,0
737961,109706,936,30-34,F,23,523,0,0,1,0
737995,109714,936,30-34,F,26,1873,0,0,1,0
738006,109717,936,30-34,F,27,34740,7,13.41,1,1
738067,109731,936,30-34,F,32,658,0,0,1,0
738098,109738,936,30-34,F,64,1539,0,0,1,0
738307,109788,936,35-39,F,31,3010,1,0.86,1,1
738389,109808,936,40-44,F,10,27081,9,10.77,1,1
738408,109813,936,40-44,F,16,20233,4,5.59,3,0
738413,109813,936,40-44,F,16,147159,36,58.16,3,1
738423,109816,936,40-44,F,18,21664,7,10.62,1,1
738436,109820,936,40-44,F,19,9112,4,5.46,1,1
738463,109826,936,40-44,F,21,542,0,0,1,0
738528,109839,936,40-44,F,30,402,0,0,1,1
738560,109844,936,40-44,F,64,1338,0,0,1,0
738582,109848,936,45-49,F,10,46150,15,20.18,1,1
738592,109850,936,45-49,F,16,493821,116,176.38,4,1
738593,109850,936,45-49,F,16,92011,27,34.39,2,1
738598,109851,936,45-49,F,18,12956,4,5.49,1,1
738606,109852,936,45-49,F,19,529,0,0,1,0
738637,109857,936,45-49,F,24,944,1,1.42,1,0
738648,109859,936,45-49,F,26,111090,38,51.97,5,1
747212,110836,936,30-34,M,10,7208,2,3.19,1,0
747213,110836,936,30-34,M,10,1746,0,0,1,0
747220,110837,936,30-34,M,15,2474,0,0,2,2
747222,110838,936,30-34,M,16,12489,2,1.96,1,0
747223,110838,936,30-34,M,16,8032,1,0.6,2,0
747248,110842,936,30-34,M,21,472,0,0,1,1
747332,110856,936,30-34,M,64,792,0,0,1,1
747362,110861,936,35-39,M,15,4607,1,1.15,1,1
747369,110862,936,35-39,M,16,13355,2,3.18,1,1
747370,110862,936,35-39,M,16,2936,0,0,1,0
747401,110867,936,35-39,M,22,2793,1,0.98,1,1
747435,110873,936,35-39,M,28,1032,0,0,1,0
747439,110874,936,35-39,M,29,1662,0,0,1,1
747489,110882,936,40-44,M,2,4016,2,1.48,1,1
747514,110886,936,40-44,M,16,14843,3,2.94,1,1
747645,110908,936,45-49,M,10,9674,3,4.6,1,1
747659,110910,936,45-49,M,16,12186,2,2.67,1,0
747675,110913,936,45-49,M,20,673,0,0,1,0
747678,110914,936,45-49,M,21,370,0,0,1,1
747712,110919,936,45-49,M,26,450,0,0,1,1
747790,110932,936,30-34,F,10,2077,0,0,1,1
747791,110932,936,30-34,F,10,31393,8,10.96,1,1
747795,110933,936,30-34,F,15,8410,2,2.36,1,1
747798,110934,936,30-34,F,16,25884,5,7.35,1,0
747824,110938,936,30-34,F,21,608,0,0,1,1
747828,110939,936,30-34,F,22,28488,10,9.34,1,0
747852,110943,936,30-34,F,26,10126,3,4.62,1,0
747859,110944,936,30-34,F,27,22572,5,8.5,1,0
747863,110944,936,30-34,F,27,1955,0,0,1,1
747879,110947,936,30-34,F,30,493,0,0,1,0
747903,110951,936,30-34,F,63,1491,0,0,1,1
747911,110952,936,30-34,F,64,1495,0,0,1,1
747968,110962,936,35-39,F,21,512,0,0,0,0
747991,110966,936,35-39,F,25,4868,2,2.42,1,0
748000,110967,936,35-39,F,26,6585,2,2.95,1,0
748007,110968,936,35-39,F,27,10164,2,3.72,1,1
748014,110970,936,35-39,F,29,11182,4,4.45,1,0
748045,110975,936,35-39,F,63,1238,0,0,1,0
748086,110982,936,40-44,F,16,34127,8,13.07,1,0
748087,110982,936,40-44,F,16,29466,7,10.85,2,0
748089,110982,936,40-44,F,16,38759,9,10.85,1,0
748091,110982,936,40-44,F,16,41720,10,12.06,1,1
748225,111005,936,45-49,F,15,18602,5,8.86,1,0
748230,111006,936,45-49,F,16,83929,21,27.73,4,1
748231,111006,936,45-49,F,16,25194,6,7.35,1,0
748233,111006,936,45-49,F,16,78627,19,26.53,1,0
748235,111006,936,45-49,F,16,102695,25,39.43,3,0
748294,111016,936,45-49,F,27,82827,24,47.93,3,0
748295,111016,936,45-49,F,27,9240,3,6.04,1,0
748303,111018,936,45-49,F,29,7706,2,2.37,1,0
748314,111020,936,45-49,F,31,7821,4,6.34,1,1
748341,111024,936,45-49,F,64,1363,0,0,1,1
776318,115484,936,45-49,F,15,3569,0,0,1,1
776322,115485,936,45-49,F,16,119063,34,53.22,1,0
776323,115485,936,45-49,F,16,99078,23,35.8,2,0
776325,115485,936,45-49,F,16,452398,114,180.22,1,0
776334,115487,936,45-49,F,10,191223,48,76.41,1,0
776336,115487,936,45-49,F,10,22216,6,9.55,1,0
776338,115487,936,45-49,F,10,48291,11,18.02,1,0
776353,115490,936,40-44,F,63,27559,8,13.37,1,0
776373,115493,936,45-49,F,25,10194,4,4.59,2,1
776383,115495,936,45-49,F,23,1168,0,0,1,1
776405,115498,936,45-49,F,21,40126,16,25.86,1,0
776416,115500,936,45-49,F,19,3659,1,0.49,1,1
776430,115503,936,30-34,M,10,3200,0,0,1,0
776464,115508,936,45-49,F,29,7550,1,1.68,1,1
776469,115509,936,45-49,F,28,45397,15,25.42,1,1
776473,115510,936,30-34,M,16,23086,2,3.31,1,1
776475,115510,936,30-34,M,16,16425,1,1.55,1,0
776476,115510,936,30-34,M,16,43756,5,5.44,0,0
776477,115510,936,30-34,M,16,9982,0,0,1,0
776489,115512,936,45-49,F,26,175389,55,81.61,1,0
776494,115513,936,30-34,M,15,7015,0,0,1,0
776515,115517,936,45-49,F,65,12706,3,4.99,1,1
776519,115517,936,45-49,F,65,70702,20,31.71,1,0
776533,115520,936,45-49,F,63,63927,16,25.52,2,0
776534,115520,936,45-49,F,63,15105,3,4.26,1,0
776538,115521,936,30-34,F,15,8774,1,1.83,1,0
776551,115523,936,30-34,F,16,14459,1,1.39,1,0
776552,115523,936,30-34,F,16,21596,2,2.81,1,0
776553,115523,936,30-34,F,16,66765,8,11.05,1,0
776563,115525,936,30-34,F,7,1369,0,0,1,1
776579,115527,936,30-34,F,10,26910,5,7.23,1,0
776603,115531,936,30-34,F,2,506,0,0,1,0
776615,115533,936,45-49,M,63,11988,3,4.27,1,0
776623,115535,936,45-49,M,64,19353,6,9.48,1,1
776631,115536,936,40-44,M,29,10960,2,2.89,1,0
776643,115538,936,30-34,M,15,33491,6,10.57,2,1
776644,115538,936,30-34,M,15,20083,2,3.2,2,1
776659,115541,936,30-34,M,16,8817,0,0,1,1
776661,115541,936,30-34,M,16,15466,1,0.97,1,0
776662,115541,936,30-34,M,16,27072,3,4.37,1,0
776663,115541,936,30-34,M,16,15753,1,0.57,1,1
776668,115542,936,40-44,M,19,3523,1,1.81,1,1
776685,115545,936,40-44,M,16,7745,0,0,1,0
776686,115545,936,40-44,M,16,18709,2,3.32,1,0
776687,115545,936,40-44,M,16,8022,0,0,2,1
776696,115547,936,30-34,M,10,7966,1,1.18,1,1
776697,115547,936,30-34,M,10,4132,0,0,1,1
776698,115547,936,30-34,M,10,12785,3,4.73,2,1
776699,115547,936,30-34,M,10,8213,1,1.38,1,1
776722,115551,936,30-34,M,2,545,0,0,1,1
776725,115552,936,40-44,M,23,2479,1,1.26,1,0
776780,115561,936,40-44,M,2,3812,2,3.05,1,0
776793,115563,936,45-49,M,21,1609,0,0,1,0
776799,115564,936,45-49,M,20,10257,3,3.58,1,1
776817,115567,936,40-44,M,10,12356,4,6.28,1,0
776825,115568,936,45-49,M,18,7410,1,1.21,1,0
776829,115569,936,45-49,M,16,140098,28,46.63,1,0
776831,115569,936,45-49,M,16,107021,20,34.44,1,0
776840,115571,936,35-39,M,36,2797,1,1.29,1,0
776861,115574,936,45-49,M,7,16461,6,9.22,1,0
776892,115580,936,40-44,M,63,17488,5,7.72,1,0
776928,115586,936,35-39,M,10,9750,2,1.5,1,1
776935,115587,936,45-49,M,36,1136,0,0,1,1
777105,115615,936,45-49,M,63,4333,1,0.18,1,1
777130,115619,936,35-39,M,16,6260,0,0,1,0
777131,115619,936,35-39,M,16,6359,0,0,1,0
777166,115625,936,30-34,M,63,2383,0,0,1,1
777187,115629,936,40-44,M,27,11292,3,5.39,1,1
777198,115631,936,30-34,M,64,12729,4,5.78,1,0
777200,115631,936,30-34,M,64,1898,0,0,1,1
777201,115631,936,30-34,M,64,1882,0,0,1,1
777235,115637,936,30-34,M,65,2883,1,0.99,1,1
777248,115639,936,30-34,F,7,3989,1,1.28,1,0
777261,115641,936,40-44,M,29,19603,4,5.28,1,1
777382,115675,936,40-44,M,24,3047,1,1.38,1,0
777398,115677,936,35-39,M,24,3029,1,1.05,1,1
777410,115679,936,45-49,M,26,3490,1,1.34,1,1
777482,115691,936,45-49,M,28,2479,0,0,1,0
777495,115693,936,40-44,M,19,19581,7,10.43,2,0
777519,115697,936,45-49,M,29,19537,5,6.1,1,0
777625,115715,936,45-49,M,16,59433,12,19.66,3,0
777627,115715,936,45-49,M,16,157534,33,56.19,2,0
777638,115717,936,40-44,M,7,1781,0,0,1,1
777670,115723,936,40-44,M,16,23769,4,6.03,1,0
777673,115723,936,40-44,M,16,7101,0,0,1,0
777742,115735,936,35-39,M,64,4726,1,1.83,1,1
777758,115737,936,30-34,M,19,5209,1,0.96,2,0
777794,115743,936,30-34,M,18,13473,3,2.62,3,0
777816,115747,936,40-44,M,2,500,0,0,1,1
777871,115756,936,30-34,M,20,4616,1,1.36,1,0
777904,115762,936,30-34,M,31,3279,0,0,1,0
777905,115762,936,30-34,M,31,3288,0,0,1,0
778037,115784,936,35-39,M,27,14615,4,6.05,1,0
778048,115786,936,30-34,M,27,56615,12,19.88,2,0
778085,115792,936,30-34,M,26,11735,3,4.53,1,1
778087,115792,936,30-34,M,26,15910,5,6.78,1,0
778112,115796,936,35-39,M,29,11446,2,3.09,1,1
778113,115796,936,35-39,M,29,4595,0,0,1,0
778124,115798,936,30-34,M,29,4871,0,0,1,0
778148,115802,936,35-39,M,28,3199,0,0,1,0
778156,115804,936,30-34,M,28,9388,2,3.14,1,0
778161,115804,936,30-34,M,28,17954,6,7.54,2,1
778208,115812,936,40-44,F,29,2755,0,0,1,0
778264,115822,936,40-44,F,27,8152,1,0.99,1,0
778266,115822,936,40-44,F,27,74542,19,34.15,1,0
778421,115848,936,40-44,F,20,6699,2,3.09,1,0
778422,115848,936,40-44,F,20,11911,4,3.96,1,0
778461,115854,936,40-44,M,29,10090,2,2.65,1,1
778471,115856,936,30-34,M,32,1273,0,0,1,1
778483,115858,936,40-44,F,18,24188,5,8.18,1,0
778529,115866,936,30-34,M,31,2214,0,0,1,0
778556,115870,936,40-44,M,32,9735,4,4.13,1,1
778590,115876,936,30-34,M,30,1371,0,0,1,1
778600,115878,936,40-44,F,22,10750,4,5.39,1,0
778626,115882,936,30-34,M,29,7629,1,0.72,1,1
778628,115882,936,30-34,M,29,4608,0,0,1,0
778674,115890,936,35-39,M,29,3732,0,0,1,0
778689,115892,936,30-34,M,28,7453,1,1.68,1,1
778722,115898,936,35-39,F,64,41785,14,19.1,1,0
778737,115900,936,35-39,M,27,8077,2,3.58,1,1
778756,115904,936,35-39,F,63,5602,1,1.58,1,0
778804,115912,936,30-34,M,26,6184,2,2.75,1,1
778808,115912,936,30-34,M,26,1738,0,0,1,0
778964,115938,936,35-39,F,27,112460,25,41.29,1,0
779057,115954,936,40-44,M,15,4414,0,0,1,0
779106,115962,936,35-39,F,30,14670,7,9.41,1,0
779438,116031,936,30-34,F,64,33144,9,13.41,1,0
779453,116033,936,45-49,M,64,4397,1,0.95,1,0
779488,116039,936,45-49,M,65,1006,0,0,1,0
779573,116053,936,35-39,F,10,89527,24,32.29,1,0
779608,116059,936,35-39,F,15,2459,0,0,1,0
779609,116059,936,35-39,F,15,7116,2,1.73,1,1
779622,116061,936,30-34,F,15,8613,1,0.89,2,0
779631,116063,936,35-39,F,16,9730,1,1.38,1,0
779644,116065,936,30-34,F,16,51816,8,10.23,2,1
779645,116065,936,30-34,F,16,27289,3,4.43,1,0
779715,116077,936,30-34,F,29,20409,4,3.83,1,0
779716,116077,936,30-34,F,29,8044,1,1.11,1,0
779738,116081,936,30-34,F,28,15645,4,5.35,1,0
779778,116087,936,30-34,F,31,2466,0,0,2,2
779789,116089,936,45-49,M,10,11611,3,3.95,1,1
779824,116095,936,45-49,M,7,9375,3,4.02,1,0
779871,116103,936,30-34,F,32,4402,1,1.33,1,1
779918,116111,936,30-34,F,18,8469,2,3.09,1,0
779922,116111,936,30-34,F,18,5823,1,1.42,1,1
779944,116115,936,35-39,M,10,2549,0,0,1,0
779979,116121,936,35-39,M,16,25817,4,6.02,1,0
779995,116123,936,30-34,F,20,1961,0,0,1,0
780064,116135,936,30-34,F,22,2554,0,0,1,0
780104,116147,936,30-34,F,25,4971,1,1.23,1,1
780199,116163,936,35-39,F,23,1030,0,0,1,1
780318,116183,936,45-49,F,29,162341,56,77.08,3,0
780323,116183,936,45-49,F,29,24542,7,9.33,1,0
780486,116216,936,30-34,F,65,2879,0,0,1,1
780498,116218,936,30-34,F,64,13621,3,4.09,1,0
780511,116220,936,30-34,F,63,6175,1,1.37,2,1
780629,116240,936,30-34,F,28,2963,0,0,1,0
780653,116244,936,30-34,F,29,9076,1,1.38,1,1
780655,116244,936,30-34,F,29,20941,4,5.91,1,1
780666,116246,936,45-49,F,10,3462,0,0,1,0
780681,116248,936,30-34,F,26,4073,0,0,1,1
780700,116252,936,30-34,F,27,3745,0,0,1,0
780748,116265,936,30-34,F,24,830,0,0,1,0
780759,116267,936,45-49,F,18,2912,0,0,1,0
780760,116267,936,45-49,F,18,17167,5,6.91,1,0
780797,116273,936,30-34,F,22,24491,7,9.54,1,0
780799,116273,936,30-34,F,22,44699,13,17.3,2,0
780821,116277,936,30-34,F,23,6469,2,1.31,1,0
780830,116279,936,45-49,F,16,16053,3,4.08,1,1
780835,116279,936,45-49,F,16,54724,12,17.93,1,1
780867,116285,936,30-34,F,21,4706,1,1.22,1,0
780974,116303,936,40-44,F,32,8316,3,4.57,1,1
781066,116323,936,40-44,F,22,5794,2,2.27,1,0
781114,116331,936,40-44,F,18,4813,1,1.03,1,0
781159,116339,936,40-44,F,10,85285,26,36.13,1,0
781162,116339,936,40-44,F,10,5839,1,1.37,1,0
781175,116341,936,40-44,F,15,5859,1,1.54,1,0
781187,116343,936,40-44,F,16,164118,41,59.07,1,0
781195,116345,936,35-39,F,63,18234,6,7.81,1,0
781207,116347,936,35-39,F,64,2755,0,0,1,0
781303,116363,936,35-39,F,27,73676,20,28.5,1,0
781305,116363,936,35-39,F,27,18421,7,10.08,1,0
781327,116367,936,35-39,F,29,164754,49,67.98,2,1
781353,116371,936,35-39,F,10,7449,1,1.64,1,1
781354,116371,936,35-39,F,10,6424,1,0.53,1,0
781438,116385,936,30-34,M,63,2086,0,0,1,0
781470,116391,936,35-39,M,16,6016,0,0,1,0
781499,116395,936,35-39,M,15,6412,1,1.37,1,0
781508,116397,936,30-34,F,63,5040,1,1.44,1,0
781556,116405,936,30-34,F,32,1772,0,0,1,0
781559,116405,936,30-34,F,32,1783,0,0,1,0
781606,116413,936,35-39,M,20,8200,3,3.92,1,0
781690,116427,936,45-49,F,26,115896,38,49.44,1,0
781811,116447,936,35-39,F,16,10186,1,1.23,1,1
781857,116455,936,30-34,M,20,9134,3,4.18,2,0
781858,116455,936,30-34,M,20,3385,1,1.44,1,1
781907,116463,936,45-49,F,21,1314,0,0,1,0
781928,116467,936,30-34,M,18,2916,0,0,1,1
781929,116467,936,30-34,M,18,6142,1,1.33,1,0
781950,116471,936,30-34,F,20,1984,0,0,1,0
781999,116479,936,30-34,M,24,9142,3,3.75,1,0
782001,116479,936,30-34,M,24,5475,2,2.73,1,1
782022,116483,936,30-34,F,18,8254,2,2.32,1,1
782026,116483,936,30-34,F,18,5704,1,1.32,1,0
782130,116501,936,30-34,F,16,7301,0,0,1,0
782134,116501,936,30-34,F,16,37873,5,6.17,1,1
782135,116501,936,30-34,F,16,25267,4,4.94,2,1
782171,116507,936,30-34,F,30,535,0,0,1,0
782180,116509,936,30-34,M,29,3396,0,0,1,0
782219,116515,936,30-34,M,26,977,0,0,1,0
782228,116517,936,40-44,F,63,12318,5,6.34,1,1
782242,116519,936,30-34,F,28,4783,1,0.86,1,0
782275,116525,936,30-34,F,29,6475,1,1.35,1,0
782337,116535,936,45-49,F,16,104578,29,39.25,1,1
782407,116547,936,45-49,F,10,33664,11,12.51,1,0
782443,116553,936,40-44,F,20,979,0,0,1,0
782541,116569,936,40-44,F,28,7337,3,4.08,1,0
782587,116577,936,30-34,M,10,2499,0,0,1,0
782647,116587,936,40-44,F,27,11244,3,4.55,1,0
782658,116589,936,30-34,M,15,4827,0,0,1,0
782694,116595,936,35-39,F,29,29035,7,8.91,2,2
782706,116597,936,35-39,F,30,761,0,0,1,0
782754,116605,936,35-39,F,26,6532,1,1.61,1,0
782815,116615,936,40-44,F,10,11537,3,4.3,1,0
782816,116615,936,40-44,F,10,12183,3,2.87,1,0
782862,116623,936,35-39,F,64,5912,1,1.56,1,1
950068,123438,936,30-34,M,10,4012,1,1.57,1,0
950078,123440,936,30-34,M,16,12396,2,3.21,2,1
950079,123440,936,30-34,M,16,3142,0,0,2,2
950099,123443,936,30-34,M,18,1120,0,0,1,0
950109,123445,936,30-34,M,20,343,0,0,1,1
950170,123455,936,30-34,M,15,1720,0,0,1,1
950179,123457,936,30-34,M,16,3423,0,0,1,1
950182,123457,936,30-34,M,16,3242,0,0,1,0
950183,123457,936,30-34,M,16,15720,1,1.38,1,0
950200,123460,936,30-34,M,10,1217,0,0,1,1
950224,123464,936,40-44,M,20,2367,2,2.84,1,1
950326,123481,936,35-39,M,16,6607,1,1.32,2,0
950345,123484,936,30-34,M,64,616,0,0,1,0
950452,123502,936,45-49,M,16,5537,1,1.52,1,0
950463,123504,936,45-49,M,15,818,0,0,1,0
950495,123509,936,45-49,M,21,1909,1,0.98,1,0
950521,123514,936,30-34,M,21,351,0,0,1,0
950531,123515,936,45-49,M,22,572,0,0,1,0
950537,123516,936,40-44,M,36,1884,1,1.41,1,0
950550,123519,936,30-34,M,30,219,0,0,1,0
950577,123523,936,30-34,M,32,540,0,0,1,1
950578,123523,936,30-34,M,32,550,0,0,1,0
950595,123526,936,30-34,M,26,465,0,0,1,0
950609,123528,936,30-34,M,29,1761,0,0,1,1
950629,123532,936,30-34,M,65,152,0,0,1,1
950631,123532,936,30-34,M,65,152,0,0,1,1
950649,123535,936,30-34,M,64,429,0,0,1,0
950745,123551,936,30-34,M,29,1514,0,0,2,2
950770,123555,936,30-34,M,28,7780,3,4.33,2,2
950772,123556,936,35-39,M,28,460,0,0,1,0
950773,123556,936,35-39,M,28,471,0,0,1,0
950776,123556,936,35-39,M,28,2633,1,1.07,1,0
950787,123558,936,30-34,M,27,199,0,0,1,0
950808,123562,936,35-39,M,32,398,0,0,1,0
950839,123567,936,30-34,M,24,246,0,0,2,2
950878,123573,936,40-44,M,10,2967,1,1.5,1,1
950969,123588,936,45-49,M,36,255,0,0,1,0
951021,123597,936,30-34,F,7,457,0,0,1,1
951033,123599,936,30-34,F,10,5517,1,1.23,1,0
951035,123599,936,30-34,F,10,1539,0,0,1,1
951043,123601,936,30-34,F,16,3189,0,0,1,0
951045,123601,936,30-34,F,16,3348,0,0,1,0
951046,123601,936,30-34,F,16,20050,4,4.66,4,1
951102,123611,936,45-49,M,16,2254,0,0,1,0
951105,123611,936,45-49,M,16,5894,1,1.54,1,1
951133,123616,936,35-39,M,16,9948,2,2.72,2,0
951202,123627,936,45-49,F,26,5307,3,4.29,2,1
951225,123631,936,35-39,F,22,4621,2,3.25,1,1
951270,123639,936,35-39,F,18,784,0,0,1,1
951282,123641,936,35-39,F,16,5775,1,1.58,1,1
951285,123641,936,35-39,F,16,9297,2,2.62,2,1
951294,123643,936,35-39,F,15,699,0,0,1,0
951305,123644,936,35-39,F,10,1104,0,0,1,0
951334,123649,936,30-34,F,64,3717,1,1.54,1,0
951391,123659,936,30-34,F,28,2879,1,1.59,2,2
951392,123659,936,30-34,F,28,2749,1,1.39,1,0
951400,123660,936,45-49,F,10,24028,9,12.39,2,0
951402,123661,936,30-34,F,29,1118,0,0,1,1
951413,123662,936,30-34,F,26,1083,0,0,2,1
951420,123664,936,30-34,F,27,843,0,0,1,0
951444,123668,936,30-34,F,25,2983,1,0.97,1,0
951448,123668,936,30-34,F,25,696,0,0,1,0
951462,123671,936,45-49,F,16,7589,2,3.15,1,1
